epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,336.678,1.00257,0.68609,0.94602,0.84813,0.78828,0.83328,0.52685,1.23997,0.81528,1.08588,0.000236083,0.000236083,0.000236083
72,341.654,1.0032,0.69053,0.94852,0.80411,0.80987,0.82836,0.51978,1.22524,0.8063,1.077,0.00022847,0.00022847,0.00022847
73,346.791,0.97169,0.67935,0.95239,0.81044,0.79064,0.82814,0.52212,1.21814,0.80659,1.06794,0.000220857,0.000220857,0.000220857
74,351.664,0.98603,0.68694,0.94899,0.81484,0.78488,0.82817,0.52829,1.23793,0.829,1.09252,0.000213244,0.000213244,0.000213244
75,356.463,0.98343,0.67844,0.94529,0.78434,0.79713,0.82227,0.51249,1.22377,0.84485,1.09317,0.000205631,0.000205631,0.000205631
76,361.02,0.99204,0.70041,0.95153,0.80663,0.79859,0.82531,0.51722,1.26116,0.84695,1.10882,0.000198018,0.000198018,0.000198018
77,365.674,0.99763,0.68601,0.95297,0.81271,0.7984,0.83298,0.52147,1.21108,0.83861,1.08635,0.000190404,0.000190404,0.000190404
78,370.415,0.97158,0.66924,0.94013,0.81847,0.77579,0.82565,0.52095,1.2016,0.81701,1.07488,0.000182791,0.000182791,0.000182791
79,375.168,0.95273,0.66132,0.9397,0.78319,0.78658,0.8273,0.5249,1.22785,0.81283,1.09104,0.000175178,0.000175178,0.000175178
80,379.795,0.95483,0.65371,0.93383,0.82629,0.76217,0.82008,0.52395,1.2305,0.81135,1.09414,0.000167565,0.000167565,0.000167565
81,384.742,0.97129,0.67364,0.94086,0.82593,0.78367,0.82759,0.5323,1.22554,0.80976,1.08642,0.000159952,0.000159952,0.000159952
82,389.707,0.96915,0.67344,0.93963,0.82371,0.78057,0.83245,0.52809,1.24307,0.81179,1.09443,0.000152339,0.000152339,0.000152339
83,394.394,0.97175,0.67129,0.94463,0.80765,0.80171,0.83442,0.52655,1.21931,0.79468,1.07625,0.000144726,0.000144726,0.000144726
84,399.169,0.9494,0.65118,0.93192,0.83088,0.79758,0.83189,0.53707,1.23209,0.78825,1.08938,0.000137113,0.000137113,0.000137113
85,403.94,0.93928,0.64414,0.93088,0.82743,0.78783,0.83693,0.53709,1.21327,0.7776,1.07606,0.0001295,0.0001295,0.0001295
86,408.584,0.94187,0.64684,0.93972,0.84663,0.79283,0.84459,0.53885,1.21465,0.79417,1.07633,0.000121887,0.000121887,0.000121887
87,413.174,0.94615,0.64941,0.93846,0.85445,0.78961,0.84477,0.53441,1.20764,0.79763,1.07062,0.000114273,0.000114273,0.000114273
88,418.363,0.94276,0.64147,0.93145,0.85933,0.79918,0.84788,0.54901,1.2187,0.79224,1.08175,0.00010666,0.00010666,0.00010666
